age,birth_date,marital,people,ssn
24,02/12/1954,soltero,"Alfonso A,guilar",6439
35,05/07/1958,casado,edu6ardo Castillo,689 24 9939
46,01-26-1956,Soltero,jocelyn medel,306-05-2792
57,19xx-10-23,divorciado,VICTOR ramos _ _ _,99922a45832
10,02/12/0054,SOLTERO,CARLOS EDUARDO; OCHOA ARAMBULA,6439
25,05/07/1958,CASado,JOSE MANUEL OCHOA CARDENAS,689 24 9939
63,01-26-1956,Soltero,JUAN MARIO; OCHOA NAVARRO,306-05-2792
59,19xx?10-23,DIVORCIADO,LUIS ONTANEDA MIJARES,99922a45832
69,02/12/1954,soltero,EDUARDO OMAR ORTEGA RAMIREZ,
59,05/07/1958,,JOSE ALEJANDRO& PRECIADO GANDARA,6439
20,01-26-1956,Soltero,Jose Aantonio Quintero Rodriguez,689 24 9938
25,19xx-10-23,divorciado,JOSE ALFONSO RAMIREZ D.,306-06-2792
30,02/12/0054,missing,ANA PAULA RANGEL OCHOA&,99922a45845
35,05/07/1958,casado,Arturo RUIZ CHAVEZ,missing
